title,link,published,date,source
A 6% Pop Can’t Fix PepsiCo’s Bigger Problems (NASDAQ:PEP) - Seeking Alpha,https://news.google.com/rss/articles/CBMikAFBVV95cUxNT0NuTEFSWEZmT3UxcUFsNnp1VmpEQ2lxR1dpbjRHdFJDZGktSVpOOXJ1endPYlJyOXVHYkVXeFVPdzRFaG5hX1Ztekx3TG1kcURBeHJzVEpHOU1kcUFkQ3VUQXNzb0hsMld0Tm4wd2FYLVlFYkV3VkFFVWNpajJ1QVY1TkhVbldFLUFGNDQ3bUk?oc=5,"Thu, 17 Jul 2025 16:53:00 GMT",2025-07-17 16:53:00,Google
"PepsiCo posts Q2 beat, GE Aerospace lifts outlook - Yahoo Finance",https://news.google.com/rss/articles/CBMie0FVX3lxTE56U1EzVlQyNlZvam9CdDJCZGhzM3h5WHRIa2VjcnNzaElvZ1BfM2RwNWNMZXVmTkVhaW4zNXk3bmlsakVYMGltVl9VaXNEbVlPRTNfVXZyN0JEYzUzSk12LTBBQWpvNnd4R3NDOUloVWlrZ2o4SWlvYlNWSQ?oc=5,"Thu, 17 Jul 2025 11:53:38 GMT",2025-07-17 11:53:38,Google
PepsiCo overcomes lagging US sales in a strong second quarter - AP News,https://news.google.com/rss/articles/CBMiowFBVV95cUxPR20wVkVRek9kdE9VRzNEYnRGRG9kT0FYYjNzRVhrTW52cnBOemhvZkFGWlZCTHRfNVBGVVgxUUpGWGR0SkVjcnlZQUp0MHhwaVExR25YQ3N6elBaS2hQYUxBS3pCU2pra21uRFVmelF4SDZJZXVTRjMxWEpuUW9pekYzRENvb3hmaWFjcVVzS21HLUVVQ2dfOXhyQ09lUGlfZ0c0?oc=5,"Thu, 17 Jul 2025 14:02:00 GMT",2025-07-17 14:02:00,Google
PepsiCo earnings beat Wall Street expectations even as business in the U.S. falters - Quartz,https://news.google.com/rss/articles/CBMickFVX3lxTE4xN1lmTDMxR1BvWGp3QXNwUl9UaGQ2Z0NKbWxjNmVsLWdqVmxqUlR3MGoyQ05ndVdyanQtcXpfLUx5bTJTbkhocFQ4U2o3UVJkSVRVZVpsTWtRSkFmNVN5R0pPYlNTT0Q4NnZQZWRlMUx6Zw?oc=5,"Thu, 17 Jul 2025 13:55:14 GMT",2025-07-17 13:55:14,Google
"PepsiCo Delivers The Fizz In Q2, Sweetens Outlook On Subdued Dollar Headwind - Yahoo Finance",https://news.google.com/rss/articles/CBMihgFBVV95cUxOajN0SzZOcTltMm5LZ05mZVhUT19TWUtMT3lxbDdWR0RQWDZNWUxZdWxWbzVEaXB6STktTjhqaDFnV3hBVTBxRjltUjdQd3Vnb3oyRjdYeFZvdlFSTW1FU2xJRGRZUl9iRV9FU3dTd3d4R0NGT2U4VW5ZZFNFRzBzY1B1S2NmQQ?oc=5,"Thu, 17 Jul 2025 11:54:57 GMT",2025-07-17 11:54:57,Google
PepsiCo Stock Climbs on Better-Than-Expected Results as International Sales Gain - MSN,https://news.google.com/rss/articles/CBMi8gFBVV95cUxNUHhyV0ZLcVpvREpaT3ZPSTkwY05weEVjQks2d0Z1ZGN3ZndDZXNPc2xWYmhtLUl5WDhzR0p6RkNwNVp0dnhnZGw0djB3QmtJRy1fLTJwbi1Eenh6RFBURUZFUW9yUlJuRktaVUJSbHR4ODJaMUF2U3NiRUpubGk4WGtRbmR1Z1pldnRCYk90X3BqcHNCUndOb1NteldxbUM5Z1lCWEw0cGtqd0Q1VnlYZDdKRU51NmtPMEk4dVVBU2NmWHd3ZF9NaG5pVGZ1ZE5aX2I2NkEwX0xXQy0xVFRzdmo1S1k5Mlg4SEt2MXNfRnJ4UQ?oc=5,"Thu, 17 Jul 2025 14:42:01 GMT",2025-07-17 14:42:01,Google
PepsiCo Stock Headed for Best Day in 5 Years - Schaeffer's Investment Research,https://news.google.com/rss/articles/CBMipgFBVV95cUxNT1FybERVc3hGNC1hamFEMEo4Q2R5Rk9qRGdZTmJiU1BWMFVlVUVqVEVQVlQ3Yy1FMG1mdDZ1Z0FyUVlTWmJGeU1TVi12d1BLVTItMHdJOEhBaGtyRzNkV1VfcFdreDVCc1FtTXotSFo2UEh1TEw3Rkd2ck54YkFndFdTeHZlVDliSmc1a1lVQnRLWjBSTkh3dWRwd2pTa3dPWE12MmtB?oc=5,"Thu, 17 Jul 2025 15:06:53 GMT",2025-07-17 15:06:53,Google
PepsiCo’s Strategic Moves and Upcoming Earnings Report​ - StocksToTrade,https://news.google.com/rss/articles/CBMic0FVX3lxTE1pb2loRnlEOFQwemN2b3ktU2I2SzkxaG0yYVBicko5b2hwd1VzWU9lQ241VU9RRjV4dC1GZ0RmRnQ4YlJISU9VNGFuTjRxQU9JNEJKanI3RzAwZ0J3QVhEcTlVLUloUUtKX09RSGVoTUpmS00?oc=5,"Thu, 17 Jul 2025 16:02:00 GMT",2025-07-17 16:02:00,Google
PepsiCo Beats Estimates Citing Strong International Growth - Bloomberg.com,https://news.google.com/rss/articles/CBMisAFBVV95cUxNaVVLNVdTbEpidUlQaXNUNlp6djM3QVBMRVVmWFI5OVg5Vk1wbEZGcTdmNGd4T3hCbjlCbXVXTno1ZHE4ZEFCaExpdDdmY0c4eFNMS19VU3I5TGNSa0ZjcnQ4eUZ1bV9zTy1MdEItVXFrd0thQzdOVGNsRzlOSWU0Y1A1ZmNGWl9zdHV5N1ZXUEJMX1BPaVVHNXdEQUNSc191N1pYTWdIeHd3MWt3ZEFNRw?oc=5,"Thu, 17 Jul 2025 13:37:28 GMT",2025-07-17 13:37:28,Google
Wall Street hangs near its record as PepsiCo and United Airlines fly and health care stocks sink - Toledo Blade,https://news.google.com/rss/articles/CBMi7gFBVV95cUxPV3pndjZfdFk2Y2JxQXJlTVVkallQX3FhWVFNSjJENkl2OGJ6UmJYMklZcHlWU1JCa0pqZ3RzU3JnUGtxelVoMXJad29aUm1aRTBhMjAzR0RJemRsekUwcVdyTVdmYkxHXzJFWEdIbUlWS3h4X3dfUDViQmJ5MWctZWJydDhwaFpNSThhMlgwOG5YN3RjaG9lcXdsWWR6b0VGdWFvcFk5cENkdTAzUklYNUc2TTNhM0tjelVUNF9xN2xIVkd4RUMxTFc3azdwcTU0Vk5KOXpFeTFCODgwNTFDWG45YmoybjBIZnZJdGpB?oc=5,"Thu, 17 Jul 2025 20:47:48 GMT",2025-07-17 20:47:48,Google
